Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
3128.5118227005005	49	96.638145	22.637215	142.85303	16.621838	151.0	0.0	0.6399877	0.6399877	0.63998723	0.63998723	-0.69314504	0.00046310798	7.921798e-05	4.4640274e-05	0.6931529	30049	1502450
3190.833151102066	50	97.115395	20.967741	137.94269	-14.10277	151.0	0.0	0.64314836	0.64314836	0.6431486	0.6431486	-0.69315207	0.0010640852	0.0004556397	0.00016917645	0.69319755	30049	1532499
3252.4058158397675	51	98.05394	19.006899	132.50015	10.405281	151.0	0.0	0.6493639	0.6493639	0.6493647	0.6493647	-0.6933197	0.0025326659	0.0030422737	0.0010633933	0.6936239	30049	1562548
3314.3248324394226	52	100.7668	19.797771	143.60127	26.252258	151.0	0.0	0.6673297	0.6673297	0.6673303	0.6673303	-0.69295347	0.0073856083	7.114369e-05	2.358764e-05	0.6929605	30049	1592597
3376.3774280548096	53	99.736984	21.412745	141.67151	10.928696	151.0	0.0	0.66050994	0.66050994	0.6605108	0.6605108	-0.693151	0.0022099619	0.004528862	0.0015308633	0.693604	30049	1622646
3439.754938840866	54	90.81301	21.768438	139.96349	5.4412975	151.0	0.0	0.60141075	0.60141075	0.6014106	0.6014106	-0.69315	0.0001634468	0.00032740465	0.000132665	0.69318277	30049	1652695
3502.688136816025	55	105.66615	20.88011	156.71127	12.263843	151.0	0.0	0.69977576	0.69977576	0.69977576	0.69977576	-0.6931454	0.00027532532	1.1321514e-05	4.535453e-06	0.6931464	30049	1682744
3565.722142457962	56	104.54293	26.481655	148.0415	-22.348057	151.0	0.0	0.69233733	0.69233733	0.69233745	0.69233745	-0.6930376	0.0020393073	0.0020987897	0.0010251815	0.69324744	30049	1712793
3627.775393009186	57	113.88095	22.540894	156.5106	14.169225	151.0	0.0	0.7541784	0.7541784	0.7541784	0.7541784	-0.69313407	0.0016091652	0.004477254	0.0010850396	0.69358194	30049	1742842
3690.4590690135956	58	105.269806	26.357332	149.93396	-40.960167	151.0	0.0	0.697151	0.697151	0.69715077	0.69715077	-0.69303286	0.0024426582	0.0005024349	0.0003525856	0.6930831	30049	1772891
