Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
12.846437215805054	15	2.7899008	8.924366	39.34924	-0.74082667	21.0	0.0	0.13285242	0.13285242	0.13285242	0.13285242	1008	16128
13.53296184539795	16	2.987523	9.185212	39.34777	-0.70382905	21.0	0.0	0.14226301	0.14226301	0.14226301	0.14226301	1008	17136
14.212897300720215	17	3.996458	11.117451	39.344063	-0.834555	21.0	0.0	0.19030753	0.19030753	0.19030753	0.19030753	1008	18144
14.8914475440979	18	9.992631	17.868593	59.264076	-0.81155854	21.0	0.0	0.47583959	0.47583959	0.47583959	0.47583959	1008	19152
15.550337076187134	19	13.0907545	20.868755	79.28839	-0.8990069	21.0	0.0	0.6233693	0.6233693	0.6233693	0.6233693	1008	20160
16.237539529800415	20	12.044136	20.916086	69.16476	-0.79852897	21.0	0.0	0.57353026	0.57353026	0.57353026	0.57353026	1008	21168
16.920264959335327	21	13.450127	18.408503	59.146683	-0.86853456	21.0	0.0	0.6404821	0.6404821	0.6404821	0.6404821	1008	22176
17.609327793121338	22	15.128623	20.302748	68.95343	-1.2466859	21.0	0.0	0.7204105	0.7204105	0.7204105	0.7204105	1008	23184
18.304590225219727	23	18.224985	23.808277	89.12784	-0.84689945	21.0	0.0	0.86785644	0.86785644	0.86785644	0.86785644	1008	24192
18.99518847465515	24	31.908167	25.213232	79.069405	-0.8735548	21.0	0.0	1.5194367	1.5194367	1.5194367	1.5194367	1008	25200
19.704864501953125	25	28.189575	25.310818	78.939644	-1.0469229	21.0	0.0	1.3423607	1.3423607	1.3423607	1.3423607	1008	26208
20.385919094085693	26	37.919598	25.662523	98.96166	-0.6661893	21.0	0.0	1.8056952	1.8056952	1.8056952	1.8056952	1008	27216
21.088159322738647	27	39.366997	25.244827	98.83037	-0.5988676	21.0	0.0	1.8746188	1.8746188	1.8746188	1.8746188	1008	28224
21.799256324768066	28	49.30896	24.836523	98.72644	-0.67597795	21.0	0.0	2.348046	2.348046	2.348046	2.348046	1008	29232
22.511003017425537	29	47.404163	30.745193	98.80616	-0.8393007	21.0	0.0	2.2573411	2.2573411	2.2573411	2.2573411	1008	30240
23.189266681671143	30	43.684277	29.053741	108.80276	-0.9394288	21.0	0.0	2.0802035	2.0802035	2.0802035	2.0802035	1008	31248
23.8706316947937	31	54.422207	29.851088	108.897835	-0.826509	21.0	0.0	2.591534	2.591534	2.591534	2.591534	1008	32256
24.524450540542603	32	51.104908	27.863848	108.67132	-0.9306061	21.0	0.0	2.433567	2.433567	2.433567	2.433567	1008	33264
